publisher,genres,price,developer,release_date
Kotoshiro,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",4.99,Kotoshiro,2018-01-04
"Making Fun, Inc.","['Free to Play', 'Indie', 'RPG', 'Strategy']",Free To Play,Secret Level SRL,2018-01-04
Poolians.com,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Free to Play,Poolians.com,2017-07-24
彼岸领域,"['Action', 'Adventure', 'Casual']",0.99,彼岸领域,2017-12-07
Trickjump Games Ltd,"['Action', 'Adventure', 'Simulation']",3.99,Trickjump Games Ltd,2018-01-04
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",18.99,Poppermost Productions,2018-01-04
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",29.99,Poppermost Productions,2018-01-04
Stegalosaurus Game Development,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",10.99,Stegalosaurus Game Development,2018-01-04
Copperpick Studio,"['Casual', 'Indie']",3.99,Copperpick Studio,2018-01-04
Ghulam Jewel,"['Casual', 'Indie', 'Simulation']",2.99,Ghulam Jewel,2018-01-03
Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",1.5899999999999999,Apillo,2018-01-03
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",14.99,Poppermost Productions,2018-01-03
Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",1.99,Apillo,2018-01-03
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",59.99,Poppermost Productions,2018-01-03
Tero Lunkka,"['Action', 'Adventure', 'Indie']",0.99,Tero Lunkka,2018-01-03
FrozenPepper,"['Racing', 'Simulation', 'Sports']",2.99,FrozenPepper,2017-12-22
FrozenPepper,"['Racing', 'Simulation', 'Sports']",2.99,FrozenPepper,2017-12-23
Casey Labrack,"['Action', 'Indie']",4.99,Casey Labrack,2018-01-03
Stainless Games Ltd,"['Action', 'Indie', 'Racing']",9.99,Stainless Games Ltd,1997-06-30
Valve,['Action'],9.99,Valve,1998-11-08
dev4play,"['Action', 'Indie', 'RPG']",1.99,dev4play,2016-11-25
ETGgames,"['Casual', 'Indie', 'Simulation']",0.99,ETGgames,2018-01-01
Cisamid Inc.,"['Adventure', 'Casual', 'Indie', 'RPG']",0.99,"lalalaZero,Urbanoff",2018-01-01
Strategy First,['Strategy'],6.99,Strategy First,2006-07-06
Strategy First,['Strategy'],6.99,Strategy First,2006-07-06
Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",9.99,Outerlight Ltd.,2006-07-11
Ultraint,"['Action', 'Indie', 'Strategy', 'Early Access']",7.99,Ultraint,2017-12-29
TPM.CO SOFT WORKS,"['Action', 'Adventure', 'Indie', 'RPG']",10.99,TPM.CO SOFT WORKS,2017-12-29
Wonderbox Games,"['Casual', 'Strategy', 'Early Access']",9.99,Wonderbox Games,2017-12-29
Wonderbox Games,"['Action', 'Indie']",9.99,Wonderbox Games,2017-12-29
Mad Unicorn Games,"['Action', 'Adventure', 'Casual']",1.99,Mad Unicorn Games,2017-12-30
Majesco,['Action'],9.99,GlyphX Games,2005-08-09
Introversion Software,"['Indie', 'Strategy']",9.99,Introversion Software,2006-09-29
Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",9.99,Outerlight Ltd.,2006-11-20
Valve,"['Indie', 'Simulation']",9.99,Facepunch Studios,2006-11-29
SimBin,['Racing'],39.99,SimBin,2006-11-24
Unknown Worlds Entertainment,"['Casual', 'Indie']",Free,Unknown Worlds Entertainment,2006-12-14
"CINEMAX, s.r.o.","['Casual', 'Indie']",4.99,"CINEMAX, s.r.o.",2006-12-19
Strategy First,['Strategy'],4.99,Sick Puppies,2003-08-23
Strategy First,['Strategy'],4.99,Deepred,2006-12-21
Funcom,"['Adventure', 'RPG']",19.99,Funcom,2006-04-17
Strategy First,['Racing'],9.99,Bugbear Entertainment,2006-08-01
Strategy First,['Racing'],7.49,Bugbear Entertainment,2005-07-12
Capcom,"['Action', 'Adventure']",14.99,"CAPCOM Co., Ltd.",2007-06-26
2K Games,['Strategy'],9.99,"FireFly Studios,Firaxis Games",2006-07-24
Arkane Studios,['RPG'],4.99,Arkane Studios,2002-11-12
Funcom,"['Action', 'Adventure', 'RPG']",9.99,Funcom,2000-11-17
2K Games,['Strategy'],4.99,Firaxis Games,2006-07-24
2K Games,['Strategy'],9.99,PopTop,2003-10-23
"2K Games, Feral Interactive (Mac)",['Strategy'],9.99,"Firaxis Games,Feral Interactive (Mac)",2006-10-16
2K Games,['Strategy'],4.99,PopTop,1998-10-31
2K Games,['Strategy'],4.99,"MicroProse Software, Inc",1995-04-01
"Square Enix, Feral Interactive (Mac)","['Action', 'Adventure']",8.99,"Crystal Dynamics,Feral Interactive (Mac)",2007-06-05
Capcom,['Action'],19.99,"CAPCOM Co., Ltd.",2006-05-23
Telltale Games,"['Action', 'Adventure']",19.99,Telltale Games,2006-10-17
id Software,['Action'],4.99,id Software,1996-06-17
Telltale Games,"['Action', 'Adventure']",19.99,Telltale Games,2006-12-20
id Software,['Action'],4.99,id Software,1995-04-30
id Software,['Action'],14.99,id Software,1995-06-01
id Software,['Action'],4.99,id Software,1994-05-05
id Software,['Action'],4.99,id Software,1994-08-03
id Software,['Action'],4.99,Gray Matter Studios,2001-11-20
id Software,['Action'],2.99,Ritual Entertainment,1997-02-28
id Software,['Action'],2.99,id Software,1993-10-10
Majesco,['Action'],9.99,Terminal Reality,2003-09-09
id Software,['Action'],2.99,Rogue Entertainment,2007-08-03
id Software,['Action'],4.99,id Software,2007-05-31
THQ Nordic,['Strategy'],4.99,Metamorf,2007-03-20
SEGA,['Strategy'],12.99,Relic Entertainment,2006-01-01
2K Games,"['Action', 'RPG']",19.99,"2K Boston,2K Australia",2007-08-21
SEGA,['Strategy'],12.99,Relic Entertainment,2006-01-01
SEGA,['Strategy'],12.99,Relic Entertainment,2006-10-09
SEGA,['Strategy'],9.99,The Creative Assembly,2004-09-22
SEGA,['Strategy'],4.99,The Creative Assembly,2006-06-26
Big Fish Games,['Casual'],6.99,Big Fish Games,2007-12-14
Rockstar Games,['Action'],9.99,Rockstar North,2004-04-20
Rockstar Games,['Racing'],9.99,Rockstar San Diego,2003-07-01
Rockstar Games,['Action'],9.99,Remedy Entertainment,2003-10-14
Square Enix,"['Action', 'Adventure']",6.99,Crystal Dynamics,2006-04-07
Rockstar Games,['Action'],9.99,Remedy Entertainment,2001-07-25
Electronic Arts,['Strategy'],19.99,EA Los Angeles,2008-10-28
"D3Publisher of America, Inc.",['Casual'],9.99,Infinite Interactive,2007-10-10
Strategy First,"['RPG', 'Casual', 'Adventure']",9.99,Momentum Digital Media Technologies,2007-10-23
"ValuSoft, Retroism",['Strategy'],9.99,"Gamebryo,Virtual Playground",2007-08-01
"ValuSoft, Retroism","['Action', 'Adventure', 'Strategy']",9.99,SCS Software,2007-09-01
"ValuSoft, Retroism",['Racing'],9.99,SCS Software,2007-12-03
Square Enix,['Action'],5.99,Pivotal Games,2008-02-08
Bohemia Interactive,['Action'],7.99,Bohemia Interactive,2007-05-08
THQ Nordic,['Action'],9.99,Spellbound,2006-05-02
1C Company,"['Action', 'Adventure']",4.99,Haggard Games,2007-10-16
Atari,['Action'],2.99,Eugen Systems,2006-05-30
"Atari, Aspyr (Mac)","['Simulation', 'Strategy']",19.99,"Frontier,Aspyr (Mac)",2006-10-26
Atari,['Action'],2.99,Eugen Systems,2005-03-14
"Epic Games, Inc.",['Action'],14.99,"Epic Games, Inc.",2003-02-03
"Epic Games, Inc.",['Action'],9.99,"Epic Games, Inc.",1998-04-30
Nunchuck Games,"['Casual', 'Indie']",4.99,Sanzaru Games,2008-03-21
Ubisoft,['Action'],9.99,Ubisoft,2003-02-18
Ubisoft,['Action'],9.99,Crytek Studios,2004-03-23
"Epic Games, Inc.",['Action'],9.99,"Epic Games, Inc.",2000-10-25
Ubisoft,['Action'],9.99,Ubisoft Montreal,2006-12-12
Ubisoft,['Simulation'],9.99,Ubisoft,2005-03-15
Last Day of Work,"['Casual', 'Simulation']",9.99,Last Day of Work,2008-05-28
"PopCap Games, Inc.",['Casual'],4.99,SpinTop Games,2008-06-04
